name,birthdate
André Gide,"November 22, 1869"
J.K. Rowling,"July 31, 1965"
Jane Austen,"December 16, 1775"
Thomas A. Edison,"February 11, 1847"
Marilyn Monroe,"June 01, 1926"
Albert Einstein,"March 14, 1879"
Mark Twain,"November 30, 1835"
Douglas Adams,"March 11, 1952"
Elie Wiesel,"September 30, 1928"
Steve Martin,"August 14, 1945"
Jim Henson,"September 24, 1936"
Allen Saunders,"April 24, 1899"
Bob Marley,"February 06, 1945"
Eleanor Roosevelt,"October 11, 1884"
Mother Teresa,"August 26, 1910"
George Eliot,"November 22, 1819"
Ralph Waldo Emerson,"May 25, 1803"
Jorge Luis Borges,"August 24, 1899"
Dr. Seuss,"March 02, 1904"
Friedrich Nietzsche,"October 15, 1844"
William Nicholson,"January 12, 1948"
Charles M. Schulz,"November 26, 1922"
Martin Luther King Jr.,"January 15, 1929"
Garrison Keillor,"August 07, 1942"
C.S. Lewis,"November 29, 1898"
Pablo Neruda,"July 12, 1904"
George Bernard Shaw,"July 26, 1856"
Ernest Hemingway,"July 21, 1899"
Stephenie Meyer,"December 24, 1973"
James Baldwin,"August 02, 1924"
Alexandre Dumas-fils,"July 27, 1824"
Haruki Murakami,"January 12, 1949"
Suzanne Collins,"August 11, 1962"
J.R.R. Tolkien,"January 03, 1892"
George R.R. Martin,"September 20, 1948"
W.C. Fields,"January 29, 1880"
Helen Keller,"June 27, 1880"
Charles Bukowski,"August 16, 1920"
George Carlin,"May 12, 1937"
Alfred Tennyson,"August 06, 1809"
J.M. Barrie,"May 09, 1860"
Harper Lee,"April 28, 1926"
Terry Pratchett,"April 28, 1948"
Jimi Hendrix,"November 27, 1942"
J.D. Salinger,"January 01, 1919"
E.E. Cummings,"October 14, 1894"
Madeleine L'Engle,"November 29, 1918"
Ayn Rand,"February 02, 1905"
Khaled Hosseini,"March 04, 1965"
John Lennon,"October 09, 1940"
